Source,Target
AATF,BAX
AATF,CDKN1A
AATF,KLK3
AATF,MYC
AATF,TP53
ABL1,BAX
ABL1,BCL2
ABL1,BCL6
ABL1,CCND2
ABL1,CDKN1A
ABL1,CSF1
ABL1,CSF1
ABL1,FOXO3
ABL1,JUN
ABL1,JUN
ABL1,PIM1
ABL1,TP53
AES,EPHA3
AES,LEF1
AES,RND3
AHR,ABCG2
AHR,AHRR
AHR,ARNT
AHR,BRCA1
AHR,CA9
AHR,CCND1
AHR,CCNG2
AHR,CYP1A1
AHR,CYP1A1
AHR,CYP1A1
AHR,CYP1A2
AHR,CYP1B1
AHR,CYP1B1
AHR,CYP2B6
AHR,FOS
AHR,IL13
AHR,IL1B
AHR,IL6
AHR,IL6
AHR,MFSD2A
AHR,MT2A
AHR,MYC
AHR,PCNA
AHR,RFC3
AHR,UGT1A1
AHR,UGT1A6
AIP,AHR
AIP,GREB1
AIP,NFKB2
AIP,RSF1
AIP,TFF1
AIRE,CHRNA1
ANKRD1,NPPA
APBB1,GMPS
APC,AKT1
APC,AMHR2
APC,BIRC5
APC,DLG1
APC,DNMT1
APC,F8
APC,KLF4
APC,MYC
APC,NOS2
APC,ODC1
APC,PTGS2
APC,PTGS2
APC,SGK1
APEX1,CCL2
APEX1,CD19
APEX1,CYP11B2
APEX1,NFKB1
APEX1,PTH
APEX1,RELA
APEX1,SLC5A5
AR,ACTA1
AR,AKR1C3
AR,AKT1
AR,AKT1
AR,ALDH1A3
AR,ARG1
AR,ARG2
AR,ATAD2
AR,BSG
AR,BTG1
AR,BTG2
AR,CDK20
AR,CDC6
AR,CDC6
AR,CDH1
AR,CDH11
AR,CDH2
AR,CDK20
AR,CDK6
AR,CDKN1A
AR,CDKN1A
AR,CLK3
AR,CRH
AR,CRISP1
AR,CRISP3
AR,CTNNB1
AR,CYP7B1
AR,EGFR
AR,ELK4
AR,EP300
AR,ERBB2
AR,ERBB2
AR,ERBB3
AR,ETV1
AR,FKBP4
AR,FN1
AR,FOLH1
AR,FOXA1
AR,GNMT
AR,GREB1
AR,GTF2F1
AR,HMMR
AR,HMOX1
AR,IFI16
AR,IGF1R
AR,IGFBP3
AR,JUN
AR,KISS1
AR,KISS1R
AR,KLF5
AR,KLK1
AR,KLK2
AR,KLK3
AR,KLK3
AR,KLK3
AR,KLK4
AR,MED1
AR,MID1
AR,MUC1
AR,MYC
AR,NAT1
AR,NDRG1
AR,NFKB1
AR,NKX3-1
AR,NKX3-1
AR,NOV
AR,NRAS
AR,PC
AR,PSCA
AR,PEBP1
AR,PIGR
AR,PIP
AR,PMEPA1
AR,PNRC1
AR,KLK3
AR,PTEN
AR,PTEN
AR,PTGS2
AR,PTPN1
AR,RELA
AR,REST
AR,SEPT7
AR,SERPINB5
AR,SESN1
AR,SRD5A3
AR,STIM1
AR,TBP
AR,TCF7L2
AR,TGFA
AR,TH
AR,TJP1
AR,TMPRSS2
AR,TMPRSS2
AR,TRPS1
AR,TSC1
AR,TSC2
AR,UCN
AR,UGT2B15
AR,USP26
AR,VEGFA
AR,VEGFA
AR,VIM
AR,WEE1
AR,WNT7B
AR,XIAP
ARID1A,CDKN1A
ARID1A,IGH
ARID1A,SMAD3
ARID1B,IGH
ARID3A,CDC6
ARID3A,CDK1
ARID3A,CR2
ARID3A,E2F1
ARID3A,PML
ARID3A,RBL1
ARNT,AHR
ARNT,BHLHE40
ARNT,BRCA1
ARNT,CA9
ARNT,CCNE1
ARNT,CDK2
ARNT,CTSD
ARNT,CYP1A1
ARNT,CYP1A1
ARNT,CYP1B1
ARNT,CYP1B1
ARNT,EGLN2
ARNT,EPO
ARNT,ESR1
ARNT,FOS
ARNT,GAD1
ARNT,HIF1A
ARNT,JUN
ARNT,MFSD2A
ARNT,RELB
ARNT,UGT1A6
ARNT,VEGFA
ARNTL,BHLHE40
ARNTL,CRY1
ARNTL,CRY1
ARNTL,CRY2
ARNTL,CRY2
ARNTL,PER1
ARNTL,PER1
ARNTL,PER2
ARNTL,PER2
ARNTL,PER3
ARNTL2,SERPINE1
ARX,KDM5C
ARX,LMO1
ARX,PAX4
ARX,SHOX2
ASCL1,CHRNA3
ASCL1,CHRNA5
ASCL1,CHRNB4
ASCL1,DKK1
ASCL1,IGF2
ASCL1,PCSK6
ASCL1,TPH1
ASH1L,TGFB1
ASH1L,TIMP1
ASXL1,FABP4
ATF1,BCL2
ATF1,CCNA1
ATF1,CFTR
ATF1,CGA
ATF1,CYP11B1
ATF1,CYP11B2
ATF1,ERBB2
ATF1,FLT1
ATF1,FTH1
ATF1,FTH1
ATF1,GABPA
ATF1,IL10
ATF1,LDHA
ATF1,MAP1LC3B
ATF1,MITF
ATF1,MITF
ATF1,MUC2
ATF1,NTS
ATF1,PCSK1
ATF1,PLAUR
ATF1,SLC20A1
ATF1,SLC22A8
ATF1,TGFB2
ATF1,TH
ATF1,TOP2A
ATF1,USP7
ATF2,APOC3
ATF2,ATF3
ATF2,CCND1
ATF2,CDKN1A
ATF2,CYP11B1
ATF2,CYP11B2
ATF2,DUSP1
ATF2,DUSP10
ATF2,FAS
ATF2,FASLG
ATF2,FN1
ATF2,KAT5
ATF2,IFNB1
ATF2,IFNB1
ATF2,IFNG
ATF2,IMPDH2
ATF2,INS
ATF2,INS
ATF2,ITGB8
ATF2,JUN
ATF2,MAP3K1
ATF2,MMP2
ATF2,NOS3
ATF2,PCK1
ATF2,PCK2
ATF2,PLAT
ATF2,PLAU
ATF2,POLB
ATF2,PTGS2
ATF2,RELA
ATF2,RETN
ATF2,ST3GAL5
ATF2,TGFB2
ATF2,TNF
ATF3,ADIPOR1
ATF3,ADIPOR2
ATF3,AK4
ATF3,ASNS
ATF3,ASNS
ATF3,CCL5
ATF3,CD82
ATF3,DDIT3
ATF3,GDF15
ATF3,ID1
ATF3,IFNG
ATF3,PCLAF
ATF3,LDLR
ATF3,MMP2
ATF3,PENK
ATF3,SELE
ATF3,TP53
ATF4,APOE
ATF4,ASNS
ATF4,ASNS
ATF4,ATF3
ATF4,ATF3
ATF4,ATG5
ATF4,BGLAP
ATF4,CA9
ATF4,CCL2
ATF4,CEBPB
ATF4,CHAC1
ATF4,CXCL8
ATF4,DDIT3
ATF4,DDIT3
ATF4,DDIT4
ATF4,DDR2
ATF4,DISC1
ATF4,F7
ATF4,FGF19
ATF4,FGF21
ATF4,HRK
ATF4,HSPA5
ATF4,IGFBP1
ATF4,IL6
ATF4,IRF7
ATF4,MAP1LC3B
ATF4,MCL1
ATF4,NDC80
ATF4,NUPR1
ATF4,PLAU
ATF4,PTGS2
ATF4,S100P
ATF4,SIGMAR1
ATF4,SIRT1
ATF4,SIRT1
ATF4,SIRT2
